,0
1402,"[('Where is the lakefront cafe?', {'entities': [(13, 27, 'facility')]})]"
1403,"[('I want to meet my friend at the lakefront cafe', {'entities': [(32, 46, 'facility')]})]"
1404,"[('Is the lakefront cafe open on weekends?', {'entities': [(7, 21, 'facility')]})]"
1405,"[('Where is Lakefront located?', {'entities': [(9, 18, 'facility')]})]"
1406,"[('Can I swim at Lakefront this weekend?', {'entities': [(14, 23, 'facility')]})]"
1407,"[('What activities can I do near Lakefront?', {'entities': [(30, 39, 'facility')]})]"
1408,"[('Where is the Lake Front Cafe located?', {'entities': [(13, 28, 'facility')]})]"
1409,"[('I want to meet my friend at the Lake Front Cafe', {'entities': [(32, 47, 'facility')]})]"
1410,"[('Is the Lake Front Cafe open on Sundays?', {'entities': [(7, 22, 'facility')]})]"
1411,"[('What is the address of Cotti Coffee', {'entities': [(23, 35, 'facility')]})]"
1412,"[('Where can I find Cotti Coffee on campus', {'entities': [(17, 29, 'facility')]})]"
1413,"[('Is Cotti Coffee open on weekends', {'entities': [(3, 15, 'facility')]})]"
1414,"[('Where is the nearest Cotti Coffee?', {'entities': [(21, 33, 'facility')]})]"
1415,"[('Is there a Cotti Coffee near my dorm?', {'entities': [(11, 23, 'facility')]})]"
1416,"[('I want to meet my friend at Cotti Coffee', {'entities': [(28, 40, 'facility')]})]"
1417,"[('Where is Cotti located?', {'entities': [(9, 14, 'facility')]})]"
1418,"[('What are the operating hours of Cotti?', {'entities': [(32, 37, 'facility')]})]"
1419,"[('Is there a Cotti in our university?', {'entities': [(11, 16, 'facility')]})]"
1420,"[('I want to go to Cotti for lunch.', {'entities': [(16, 21, 'facility')]})]"
1421,"[('Where is the nearest Cotti?', {'entities': [(21, 26, 'facility')]})]"
1422,"[('Is there a Cotti near my dorm?', {'entities': [(11, 16, 'facility')]})]"
1423,"[('Where is Bo Ya Xuan Restaurant located?', {'entities': [(9, 30, 'facility')]})]"
1424,"[('What are the opening hours of Bo Ya Xuan Restaurant?', {'entities': [(30, 51, 'facility')]})]"
1425,"[('Can I reserve a table at Bo Ya Xuan Restaurant?', {'entities': [(25, 46, 'facility')]})]"
1426,"[('What is the menu of Bo Ya Xuan Restaurant?', {'entities': [(20, 41, 'facility')]})]"
1427,"[('How do I make a reservation at Bo Ya Xuan Restaurant', {'entities': [(31, 52, 'facility')]})]"
1428,"[('Can anyone recommend the dishes of Bo Ya Xuan Restaurant', {'entities': [(35, 56, 'facility')]})]"
1429,"[(""What is Bo Ya Xuan's business hours?"", {'entities': [(8, 18, 'facility')]})]"
1430,"[('Where can I find the schedule for Bo Ya Xuan?', {'entities': [(34, 44, 'facility')]})]"
1431,"[('Is Bo Ya Xuan open on weekends?', {'entities': [(3, 13, 'facility')]})]"
1432,"[('Where is the location of Bo Ya Xuan?', {'entities': [(25, 35, 'facility')]})]"
1433,"[('Can I borrow books from Bo Ya Xuan?', {'entities': [(24, 34, 'facility')]})]"
1434,"[('What are the opening hours of Bo Ya Xuan?', {'entities': [(30, 40, 'facility')]})]"
1435,"[('Where is SOI 55 THAI KITCHEN located?', {'entities': [(9, 28, 'facility')]})]"
1436,"[('Can I book a table at SOI 55 THAI KITCHEN?', {'entities': [(22, 41, 'facility')]})]"
1437,"[('Is SOI 55 THAI KITCHEN open for dine-in?', {'entities': [(3, 22, 'facility')]})]"
1438,"[('Where is Soi 55 Thai Kitchen located on campus?', {'entities': [(9, 28, 'facility')]})]"
1439,"[('What are the operating hours of Soi 55 Thai Kitchen?', {'entities': [(32, 51, 'facility')]})]"
1440,"[('Can I reserve a table at Soi 55 Thai Kitchen?', {'entities': [(25, 44, 'facility')]})]"
1441,"[('What is the address of SOI 55?', {'entities': [(23, 29, 'facility')]})]"
1442,"[('Where can I find SOI 55 on campus?', {'entities': [(17, 23, 'facility')]})]"
1443,"[('Is SOI 55 open for students?', {'entities': [(3, 9, 'facility')]})]"
1444,"[('Can I book a room at SOI 55?', {'entities': [(21, 27, 'facility')]})]"
1445,"[('What is the menu like at Thai Kitchen?', {'entities': [(25, 37, 'facility')]})]"
1446,"[('Where is the nearest Thai Kitchen on campus?', {'entities': [(21, 33, 'facility')]})]"
1447,"[('Can I make a reservation at Thai Kitchen?', {'entities': [(28, 40, 'facility')]})]"
1448,"[('Where is the nearest Starbucks?', {'entities': [(21, 30, 'facility')]})]"
1449,"[(""I'm looking for a Starbucks near my hotel."", {'entities': [(18, 27, 'facility')]})]"
1450,"[('Is there a Starbucks in this building?', {'entities': [(11, 20, 'facility')]})]"
1451,"[('Where is the nearest starbucks?', {'entities': [(21, 30, 'facility')]})]"
1452,"[('What time does starbucks open today?', {'entities': [(15, 24, 'facility')]})]"
1453,"[('Can I buy coffee at starbucks?', {'entities': [(20, 29, 'facility')]})]"
1454,"[('Is starbucks open on Sunday?', {'entities': [(3, 12, 'facility')]})]"
1455,"[('Where is STARBUCKS located on campus?', {'entities': [(9, 18, 'facility')]})]"
1456,"[('What are the operating hours of STARBUCKS?', {'entities': [(32, 41, 'facility')]})]"
1457,"[('Is there a STARBUCKS near my dorm?', {'entities': [(11, 20, 'facility')]})]"
1458,"[('How to get to STARBUCKS from A building?', {'entities': [(14, 23, 'facility')]})]"
1459,"[('What time is b1 supermarket open?', {'entities': [(13, 27, 'facility')]})]"
1460,"[('I need to buy groceries at b1 supermarket.', {'entities': [(27, 41, 'facility')]})]"
1461,"[('Where can I find the address of b1 supermarket?', {'entities': [(32, 46, 'facility')]})]"
1462,"[('What time does B1 Super Market close?', {'entities': [(15, 30, 'facility')]})]"
1463,"[('Where is the nearest entrance to B1 Super Market?', {'entities': [(33, 48, 'facility')]})]"
1464,"[('Can I buy snacks at B1 Super Market?', {'entities': [(20, 35, 'facility')]})]"
1465,"[('Where is the b1 dining area?', {'entities': [(13, 27, 'facility')]})]"
1466,"[('What time does the b1 dining area open?', {'entities': [(19, 33, 'facility')]})]"
1467,"[('Can I reserve a table at the b1 dining area?', {'entities': [(29, 43, 'facility')]})]"
1468,"[('Where is B1 Dining located?', {'entities': [(9, 18, 'facility')]})]"
1469,"[('What time does B1 Dining open?', {'entities': [(15, 24, 'facility')]})]"
1470,"[('Is B1 Dining open today?', {'entities': [(3, 12, 'facility')]})]"
1471,"[('Where is the nearest atm?', {'entities': [(21, 24, 'facility')]})]"
1472,"[('Can I withdraw cash at the atm?', {'entities': [(27, 30, 'facility')]})]"
1473,"[('I lost my card at the atm yesterday', {'entities': [(22, 25, 'facility')]})]"
1474,"[('Where is the Cash Machine located?', {'entities': [(13, 25, 'facility')]})]"
1475,"[('How do I use a Cash Machine?', {'entities': [(15, 27, 'facility')]})]"
1476,"[('What time does the Cash Machine open?', {'entities': [(19, 31, 'facility')]})]"
1477,"[('What is the location of ielts office?', {'entities': [(24, 36, 'facility')]})]"
1478,"[('How can I get to the ielts office on campus?', {'entities': [(21, 33, 'facility')]})]"
1479,"[('Can someone help me with my documents at the ielts office?', {'entities': [(45, 57, 'facility')]})]"
1480,"[('Where is the IELTS Centre located?', {'entities': [(13, 25, 'facility')]})]"
1481,"[('How can I get a schedule for the IELTS Centre?', {'entities': [(33, 45, 'facility')]})]"
1482,"[('What are the test dates at the IELTS Centre?', {'entities': [(31, 43, 'facility')]})]"
1483,"[('Where is the yoga room in our building?', {'entities': [(13, 22, 'facility')]})]"
1484,"[('Can I book the yoga room for a meeting?', {'entities': [(15, 24, 'facility')]})]"
1485,"[('Is there a yoga room available on campus tomorrow?', {'entities': [(11, 20, 'facility')]})]"
1486,"[('What are the operating hours of Yoga Studio?', {'entities': [(32, 43, 'facility')]})]"
1487,"[('How do I get a membership for Yoga Studio?', {'entities': [(30, 41, 'facility')]})]"
1488,"[('Is Yoga Studio open on Sundays?', {'entities': [(3, 14, 'facility')]})]"
1489,"[('Where is the TCM Clinic located on campus?', {'entities': [(13, 23, 'facility')]})]"
1490,"[('What are the opening hours of the TCM Clinic?', {'entities': [(34, 44, 'facility')]})]"
1491,"[('Is the TCM Clinic open today?', {'entities': [(7, 17, 'facility')]})]"
1492,"[('Where is the TCM Clinic located?', {'entities': [(13, 23, 'facility')]})]"
1493,"[('What are the opening hours of TCM Clinic?', {'entities': [(30, 40, 'facility')]})]"
1494,"[('Can I make an appointment at TCM Clinic?', {'entities': [(29, 39, 'facility')]})]"
1495,"[('What is the address of pluxhealth clinic?', {'entities': [(23, 40, 'facility')]})]"
1496,"[('I need to schedule an appointment at pluxhealth clinic.', {'entities': [(37, 54, 'facility')]})]"
1497,"[('How do I get to pluxhealth clinic from my dorm?', {'entities': [(16, 33, 'facility')]})]"
1498,"[('Where is PluX Health located on campus?', {'entities': [(9, 20, 'facility')]})]"
1499,"[('I need to book an appointment at PluX Health.', {'entities': [(33, 44, 'facility')]})]"
1500,"[('What are the opening hours of PluX Health?', {'entities': [(30, 41, 'facility')]})]"
1501,"[('I need to contact the maintenance office for help', {'entities': [(22, 40, 'facility')]})]"
1502,"[('Where is the maintenance office located?', {'entities': [(13, 31, 'facility')]})]"
1503,"[('How do I report an issue to the maintenance office?', {'entities': [(32, 50, 'facility')]})]"
1504,"[('Where is the Repair Office located?', {'entities': [(13, 26, 'facility')]})]"
1505,"[('How can I contact the Repair Office?', {'entities': [(22, 35, 'facility')]})]"
1506,"[('I need help with my laptop, where should I go in the Repair Office?', {'entities': [(53, 66, 'facility')]})]"
1507,"[('How do I contact the admissions office?', {'entities': [(21, 38, 'facility')]})]"
1508,"[('What are the working hours of the admissions office?', {'entities': [(34, 51, 'facility')]})]"
1509,"[('Where is the admissions office located?', {'entities': [(13, 30, 'facility')]})]"
1510,"[('Where is the Admission Office?', {'entities': [(13, 29, 'facility')]})]"
1511,"[('I want to visit the Admission Office.', {'entities': [(20, 36, 'facility')]})]"
1512,"[('How do I contact the Admission Office?', {'entities': [(21, 37, 'facility')]})]"
1513,"[('Where is the volleyball court located?', {'entities': [(13, 29, 'facility')]})]"
1514,"[('Is the volleyball court available for booking?', {'entities': [(7, 23, 'facility')]})]"
1515,"[('Can I play volleyball on the campus volleyball court?', {'entities': [(36, 52, 'facility')]})]"
1516,"[('Where is the Volley Ball Court located?', {'entities': [(13, 30, 'facility')]})]"
1517,"[('How do I book a time at the Volley Ball Court?', {'entities': [(28, 45, 'facility')]})]"
1518,"[('Is the Volley Ball Court open on weekends?', {'entities': [(7, 24, 'facility')]})]"
1519,"[('Can I book the tennis court for tomorrow?', {'entities': [(15, 27, 'facility')]})]"
1520,"[('I want to play tennis at the tennis court next week', {'entities': [(29, 41, 'facility')]})]"
1521,"[('Where is the tennis court located?', {'entities': [(13, 25, 'facility')]})]"
1522,"[('Where is the Tennis Field?', {'entities': [(13, 25, 'facility')]})]"
1523,"[('Can I book the Tennis Field for a tournament?', {'entities': [(15, 27, 'facility')]})]"
1524,"[('Is the Tennis Field open on weekends?', {'entities': [(7, 19, 'facility')]})]"
1525,"[('Where is the small football field located?', {'entities': [(13, 33, 'facility')]})]"
1526,"[('Can I book the small football field for a match?', {'entities': [(15, 35, 'facility')]})]"
1527,"[('What are the facilities available at the small football field?', {'entities': [(41, 61, 'facility')]})]"
1528,"[('Where is the Football Field located?', {'entities': [(13, 27, 'facility')]})]"
1529,"[('Can I book the Football Field for a party?', {'entities': [(15, 29, 'facility')]})]"
1530,"[('Is the Football Field open on weekends?', {'entities': [(7, 21, 'facility')]})]"
1531,"[('Where is the basketball court located?', {'entities': [(13, 29, 'facility')]})]"
1532,"[('I want to book a time at the basketball court', {'entities': [(29, 45, 'facility')]})]"
1533,"[('Can I have access to the basketball court after hours', {'entities': [(25, 41, 'facility')]})]"
1534,"[('Where is the Basketball Field located?', {'entities': [(13, 29, 'facility')]})]"
1535,"[('I want to book the Basketball Field for a tournament.', {'entities': [(19, 35, 'facility')]})]"
1536,"[('Is the Basketball Field open on weekends?', {'entities': [(7, 23, 'facility')]})]"
1537,"[('Where is the stadium located on campus?', {'entities': [(13, 20, 'facility')]})]"
1538,"[('Can I book a room in the stadium for my team?', {'entities': [(25, 32, 'facility')]})]"
1539,"[('Is there food available at the stadium during the game?', {'entities': [(31, 38, 'facility')]})]"
1540,"[('I want to watch the game at Sports Stadium tonight.', {'entities': [(28, 42, 'facility')]})]"
1541,"[('What is the address of Sports Stadium?', {'entities': [(23, 37, 'facility')]})]"
1542,"[('Can I rent a room at Sports Stadium for my team?', {'entities': [(21, 35, 'facility')]})]"
1543,"[('Where is the swimming pool located?', {'entities': [(13, 26, 'facility')]})]"
1544,"[('Is the swimming pool open today?', {'entities': [(7, 20, 'facility')]})]"
1545,"[(""Can I swim at the school's swimming pool?"", {'entities': [(27, 40, 'facility')]})]"
1546,"[('Where is the Pool on campus?', {'entities': [(13, 17, 'facility')]})]"
1547,"[('What time does the Pool open?', {'entities': [(19, 23, 'facility')]})]"
1548,"[('Can I take a swim in the Pool?', {'entities': [(25, 29, 'facility')]})]"
1549,"[('Where is the campus gym located?', {'entities': [(20, 23, 'facility')]})]"
1550,"[('Can I use my student ID to get into the gym?', {'entities': [(40, 43, 'facility')]})]"
1551,"[('How do I join the gym on campus?', {'entities': [(18, 21, 'facility')]})]"
1552,"[('Where is the Gymnasium located on campus?', {'entities': [(13, 22, 'facility')]})]"
1553,"[('What are the operating hours of the Gymnasium today?', {'entities': [(36, 45, 'facility')]})]"
1554,"[('Is the Gymnasium open for members after 10 PM?', {'entities': [(7, 16, 'facility')]})]"
1555,"[('Where is the infirmary located?', {'entities': [(13, 22, 'facility')]})]"
1556,"[(""What are the infirmary's business hours?"", {'entities': [(13, 22, 'facility')]})]"
1557,"[('How do I get to the infirmary from my dorm?', {'entities': [(20, 29, 'facility')]})]"
1558,"[('What are the operating hours of Medical Centre?', {'entities': [(32, 46, 'facility')]})]"
1559,"[('Where is the nearest Medical Centre located?', {'entities': [(21, 35, 'facility')]})]"
1560,"[('How do I get to Medical Centre from library?', {'entities': [(16, 30, 'facility')]})]"
1561,"[('Where is the Badminton Field located?', {'entities': [(13, 28, 'facility')]})]"
1562,"[('Can I book a time slot at the Badminton Field?', {'entities': [(30, 45, 'facility')]})]"
1563,"[('Is the Badminton Field open on weekends?', {'entities': [(7, 22, 'facility')]})]"
1564,"[('Where is the location of a1 teaching building?', {'entities': [(25, 45, 'facility')]})]"
1565,"[('Is there a meeting in a1 teaching building today?', {'entities': [(22, 42, 'facility')]})]"
1566,"[('How to find a1 teaching building on campus?', {'entities': [(12, 32, 'facility')]})]"
1567,"[('Where is the A1 Building located?', {'entities': [(13, 24, 'facility')]})]"
1568,"[(""What's in the A1 Building?"", {'entities': [(14, 25, 'facility')]})]"
1569,"[('Can I find a quiet spot in the A1 Building?', {'entities': [(31, 42, 'facility')]})]"
1570,"[('Where is the a2 teaching building located?', {'entities': [(13, 33, 'facility')]})]"
1571,"[('I want to go to the a2 teaching building for my class.', {'entities': [(20, 40, 'facility')]})]"
1572,"[('Is there a map available for the a2 teaching building?', {'entities': [(33, 53, 'facility')]})]"
1573,"[('What is the location of A2 Building?', {'entities': [(24, 35, 'facility')]})]"
1574,"[('I need to find A2 Building on campus', {'entities': [(15, 26, 'facility')]})]"
1575,"[('Where can I attend a meeting at A2 Building?', {'entities': [(32, 43, 'facility')]})]"
1576,"[('Where is the a4 teaching building located?', {'entities': [(13, 33, 'facility')]})]"
1577,"[('What classes are held in a4 teaching building today?', {'entities': [(25, 45, 'facility')]})]"
1578,"[('How do I get to the a4 teaching building from my dorm?', {'entities': [(20, 40, 'facility')]})]"
1579,"[('Where is the A4 Building located on campus?', {'entities': [(13, 24, 'facility')]})]"
1580,"[('What facilities are available in the A4 Building?', {'entities': [(37, 48, 'facility')]})]"
1581,"[('Can I access the gym in the A4 Building?', {'entities': [(28, 39, 'facility')]})]"
1582,"[('Where is the a5 teaching building?', {'entities': [(13, 33, 'facility')]})]"
1583,"[('What classes are held at a5 teaching building today?', {'entities': [(25, 45, 'facility')]})]"
1584,"[('I lost my book in a5 teaching building, what should I do?', {'entities': [(18, 38, 'facility')]})]"
1585,"[('Where is the A5 Building located?', {'entities': [(13, 24, 'facility')]})]"
1586,"[('What is in the A5 Building?', {'entities': [(15, 26, 'facility')]})]"
1587,"[('How do I get to A5 Building?', {'entities': [(16, 27, 'facility')]})]"
1588,"[(""What are the library's opening hours?"", {'entities': [(13, 20, 'facility')]})]"
1589,"[('I need help with a project at the library.', {'entities': [(34, 41, 'facility')]})]"
1590,"[('Can I borrow books from the library?', {'entities': [(28, 35, 'facility')]})]"
1591,"[('Where is the A3 Library located?', {'entities': [(13, 23, 'facility')]})]"
1592,"[('What facilities are available in A3 Library?', {'entities': [(33, 43, 'facility')]})]"
1593,"[('Can I find a quiet spot in A3 Library?', {'entities': [(27, 37, 'facility')]})]"
1594,"[('What is the location of B1 building?', {'entities': [(24, 26, 'facility')]})]"
1595,"[('I want to go to B1 for a study session', {'entities': [(16, 18, 'facility')]})]"
1596,"[('Can I find a library in B1 building?', {'entities': [(24, 26, 'facility')]})]"
1597,"[('What is the location of B1 building?', {'entities': [(24, 26, 'facility')]})]"
1598,"[('I need to find B1 on campus.', {'entities': [(15, 17, 'facility')]})]"
1599,"[('Where is B1 facility located?', {'entities': [(9, 11, 'facility')]})]"
1600,"[('Where is the A3 library?', {'entities': [(13, 15, 'facility')]})]"
1601,"[('I want to go to A3 tomorrow', {'entities': [(16, 18, 'facility')]})]"
1602,"[('Is the A3 building open on weekends', {'entities': [(7, 9, 'facility')]})]"
1603,"[('Where is A3 library located?', {'entities': [(9, 11, 'facility')]})]"
1604,"[(""What's the address of A3 building?"", {'entities': [(22, 24, 'facility')]})]"
1605,"[('Can I find a printer in A3?', {'entities': [(24, 26, 'facility')]})]"
1606,"[('Is A3 open on weekends?', {'entities': [(3, 5, 'facility')]})]"
1607,"[('Where is Block LY Buildings located?', {'entities': [(9, 27, 'facility')]})]"
1608,"[('What are the facilities available in Block LY Buildings?', {'entities': [(37, 55, 'facility')]})]"
1609,"[('Can I find a quiet spot in Block LY Buildings?', {'entities': [(27, 45, 'facility')]})]"
1610,"[('Where is the block LY library located?', {'entities': [(13, 21, 'facility')]})]"
1611,"[('I need help finding Block LY on campus.', {'entities': [(20, 28, 'facility')]})]"
1612,"[('Can you tell me the address of Block LY?', {'entities': [(31, 39, 'facility')]})]"
1613,"[('Where is block LY located?', {'entities': [(9, 17, 'facility')]})]"
1614,"[('What facilities are available in block LY?', {'entities': [(33, 41, 'facility')]})]"
1615,"[('Is there a gym in block LY?', {'entities': [(18, 26, 'facility')]})]"
1616,"[('Where is the LY zone located?', {'entities': [(13, 20, 'facility')]})]"
1617,"[('What facilities are available in LY zone?', {'entities': [(33, 40, 'facility')]})]"
1618,"[('Can I study in LY zone?', {'entities': [(15, 22, 'facility')]})]"
1619,"[('I want to attend the event at LY Zone', {'entities': [(30, 37, 'facility')]})]"
1620,"[('Can I get the map to LY Zone?', {'entities': [(21, 28, 'facility')]})]"
1621,"[('What is the location of LY Zone?', {'entities': [(24, 31, 'facility')]})]"
1622,"[('Where is Block D located?', {'entities': [(9, 16, 'facility')]})]"
1623,"[('I need to find the lab in Block D', {'entities': [(26, 33, 'facility')]})]"
1624,"[('What facilities are available in Block D', {'entities': [(33, 40, 'facility')]})]"
1625,"[('Where is Block D located?', {'entities': [(9, 16, 'facility')]})]"
1626,"[('Can I find a meeting room in Block D?', {'entities': [(29, 36, 'facility')]})]"
1627,"[('What are the office hours of staff in Block D?', {'entities': [(38, 45, 'facility')]})]"
1628,"[('Where is the D Block located?', {'entities': [(13, 20, 'facility')]})]"
1629,"[('What is in the D Block building?', {'entities': [(15, 22, 'facility')]})]"
1630,"[('Is the library located in the D Block?', {'entities': [(30, 37, 'facility')]})]"
1631,"[('What are the facilities available in D Zone?', {'entities': [(37, 43, 'facility')]})]"
1632,"[('Can I find a study room in D Zone?', {'entities': [(27, 33, 'facility')]})]"
1633,"[('Where is the nearest vending machine located in D Zone?', {'entities': [(48, 54, 'facility')]})]"
1634,"[('Where is the D Zone located?', {'entities': [(13, 19, 'facility')]})]"
1635,"[(""What's in the D Zone building?"", {'entities': [(14, 20, 'facility')]})]"
1636,"[('Is the D Zone open now?', {'entities': [(7, 13, 'facility')]})]"
1637,"[('Where is D Block located?', {'entities': [(9, 16, 'facility')]})]"
1638,"[('I have a class in D Block on Monday.', {'entities': [(18, 25, 'facility')]})]"
1639,"[(""What's the exam room number in D Block?"", {'entities': [(31, 38, 'facility')]})]"
1640,"[('What is the location of XMUM IAEC?', {'entities': [(24, 33, 'facility')]})]"
1641,"[('How do I access XMUM IAEC?', {'entities': [(16, 25, 'facility')]})]"
1642,"[('Is XMUM IAEC open on weekends?', {'entities': [(3, 12, 'facility')]})]"
1643,"[('What is the opening time of IAEC?', {'entities': [(28, 32, 'facility')]})]"
1644,"[('Can I reserve a room at IAEC?', {'entities': [(24, 28, 'facility')]})]"
1645,"[('How do I get to IAEC on campus?', {'entities': [(16, 20, 'facility')]})]"
1646,"[(""What's the IAEC Building like?"", {'entities': [(11, 24, 'facility')]})]"
1647,"[(""I'm lost, where is the IAEC Building?"", {'entities': [(23, 36, 'facility')]})]"
1648,"[('Can I have a map of the IAEC Building?', {'entities': [(24, 37, 'facility')]})]"
1649,"[('Where is the iaec building?', {'entities': [(13, 26, 'facility')]})]"
1650,"[('What events are happening at the iaec building today?', {'entities': [(33, 46, 'facility')]})]"
1651,"[('Can I rent a room in the iaec building?', {'entities': [(25, 38, 'facility')]})]"
1652,"[('What are the facilities offered by IAEC?', {'entities': [(35, 39, 'facility')]})]"
1653,"[('I want to attend an event at IAEC', {'entities': [(29, 33, 'facility')]})]"
1654,"[('Is there a cafeteria in IAEC?', {'entities': [(24, 28, 'facility')]})]"
1655,"[('Where is the school hotel?', {'entities': [(13, 25, 'facility')]})]"
1656,"[('Can I book a room at the school hotel?', {'entities': [(25, 37, 'facility')]})]"
1657,"[('Is there free Wi-Fi in the school hotel?', {'entities': [(27, 39, 'facility')]})]"
1658,"[('I want to book a room in the hotel on Saturday.', {'entities': [(29, 34, 'facility')]})]"
1659,"[('Can you recommend a luxury hotel near the city center?', {'entities': [(27, 32, 'facility')]})]"
1660,"[('How much does it cost to stay in a hotel for one week?', {'entities': [(35, 40, 'facility')]})]"
1661,"[('Where can I find Birthday Cake Recommendations?', {'entities': [(17, 46, 'facility')]})]"
1662,"[('What are the Birthday Cake Recommendations on campus?', {'entities': [(13, 42, 'facility')]})]"
1663,"[('Can you provide me with some Birthday Cake Recommendations?', {'entities': [(29, 58, 'facility')]})]"
1664,"[('Where can I find birthday cake recommendations on campus?', {'entities': [(17, 46, 'facility')]})]"
1665,"[('I need some ideas for birthday cake recommendations.', {'entities': [(22, 51, 'facility')]})]"
1666,"[('What are the best birthday cake recommendations for a small gathering?', {'entities': [(18, 47, 'facility')]})]"
1667,"[(""I'm looking for a list of cake recommendations."", {'entities': [(26, 46, 'facility')]})]"
1668,"[('Can you recommend some good cakes? I want cake recommendations.', {'entities': [(42, 62, 'facility')]})]"
1669,"[('Do you have any cake recommendations on campus?', {'entities': [(16, 36, 'facility')]})]"
1670,"[(""I'm looking for the birthday cake decoration service."", {'entities': [(20, 33, 'facility')]})]"
1671,"[('Where can I buy birthday cake?', {'entities': [(16, 29, 'facility')]})]"
1672,"[('What are the opening hours of the birthday cake store?', {'entities': [(34, 47, 'facility')]})]"
1676,"[('Where is the location of On-Campus Clinics?', {'entities': [(25, 42, 'facility')]})]"
1677,"[('What are the opening hours of On-Campus Clinics?', {'entities': [(30, 47, 'facility')]})]"
1678,"[('How do I make an appointment at On-Campus Clinics?', {'entities': [(32, 49, 'facility')]})]"
1679,"[('Where are the on campus clinics located?', {'entities': [(14, 31, 'facility')]})]"
1680,"[('Can I get a medical appointment at on campus clinics?', {'entities': [(35, 52, 'facility')]})]"
1681,"[('What services do on campus clinics provide?', {'entities': [(17, 34, 'facility')]})]"
1682,"[('Where is the campus clinic located?', {'entities': [(13, 26, 'facility')]})]"
1683,"[('I need a doctor at the campus clinic.', {'entities': [(23, 36, 'facility')]})]"
1684,"[('What are the opening hours of the campus clinic?', {'entities': [(34, 47, 'facility')]})]"
1685,"[('What are the medical services available at our campus?', {'entities': [(13, 29, 'facility')]})]"
1686,"[('Where can I find the medical services on campus?', {'entities': [(21, 37, 'facility')]})]"
1687,"[('How much does it cost for medical services?', {'entities': [(26, 42, 'facility')]})]"
1688,"[('Are there any free medical services provided by the university?', {'entities': [(19, 35, 'facility')]})]"
1689,"[('Can you provide me with the clinic information?', {'entities': [(28, 46, 'facility')]})]"
1690,"[('I need help finding the location of the clinic information.', {'entities': [(40, 58, 'facility')]})]"
1691,"[('What are the working hours for the clinic information?', {'entities': [(35, 53, 'facility')]})]"
1692,"[('Where is the AskA User Guide located?', {'entities': [(13, 28, 'facility')]})]"
1693,"[('What are the hours for the AskA User Guide?', {'entities': [(27, 42, 'facility')]})]"
1694,"[('I need help with the AskA User Guide.', {'entities': [(21, 36, 'facility')]})]"
1695,"[('Can you show me where to find the AskA User Guide?', {'entities': [(34, 49, 'facility')]})]"
1696,"[('Where is the aska user guide located?', {'entities': [(13, 28, 'facility')]})]"
1697,"[('How can I access the aska user guide?', {'entities': [(21, 36, 'facility')]})]"
1698,"[('Can someone help me find the aska user guide?', {'entities': [(29, 44, 'facility')]})]"
1699,"[('Where is the Aska library located?', {'entities': [(13, 17, 'facility')]})]"
1700,"[('What facilities does the Aska building have?', {'entities': [(25, 29, 'facility')]})]"
1701,"[(""I'm looking for the Aska gym"", {'entities': [(20, 24, 'facility')]})]"
1702,"[('Where is the feedback platform?', {'entities': [(13, 30, 'facility')]})]"
1703,"[('I want to access the feedback platform online.', {'entities': [(21, 38, 'facility')]})]"
1704,"[('Can I get more information about the feedback platform?', {'entities': [(37, 54, 'facility')]})]"
1705,"[('Where can I find the Cashless Payment Guide?', {'entities': [(21, 43, 'facility')]})]"
1706,"[('I need help with the Cashless Payment Guide.', {'entities': [(21, 43, 'facility')]})]"
1707,"[('How do I access the Cashless Payment Guide?', {'entities': [(20, 42, 'facility')]})]"
1708,"[('Where is the cashless payment guide located?', {'entities': [(13, 35, 'facility')]})]"
1709,"[(""I'm having trouble finding the cashless payment guide."", {'entities': [(31, 53, 'facility')]})]"
1710,"[('Can you show me the location of the cashless payment guide?', {'entities': [(36, 58, 'facility')]})]"
1711,"[('What are the payment methods available?', {'entities': [(13, 28, 'facility')]})]"
1712,"[(""Can I know more about the university's payment methods?"", {'entities': [(39, 54, 'facility')]})]"
1713,"[('How do I make payments with the available payment methods?', {'entities': [(42, 57, 'facility')]})]"
1715,"[(""I don't know how to pay my dorm fees."", {'entities': [(13, 23, 'facility')]})]"
1717,"[('How do I check my ePayment balance?', {'entities': [(18, 26, 'facility')]})]"
1718,"[('What is the status of my ePayment transaction?', {'entities': [(25, 33, 'facility')]})]"
1719,"[('What are the services offered by Health and Wellness Services?', {'entities': [(33, 61, 'facility')]})]"
1720,"[('Can I contact Health and Wellness Services for an appointment?', {'entities': [(14, 42, 'facility')]})]"
1721,"[('Where is Health and Wellness Services located on campus?', {'entities': [(9, 37, 'facility')]})]"
1722,"[('Where can I find health and wellness services on campus?', {'entities': [(17, 45, 'facility')]})]"
1723,"[('How do I access the health and wellness services?', {'entities': [(20, 48, 'facility')]})]"
1724,"[('What are the operating hours of the health and wellness services?', {'entities': [(36, 64, 'facility')]})]"
1728,"[(""I'm looking for the wellness center on campus"", {'entities': [(20, 35, 'facility')]})]"
1731,"[('Where is the mental health facility on campus?', {'entities': [(13, 26, 'facility')]})]"
1732,"[('What services does the mental health department offer?', {'entities': [(23, 36, 'facility')]})]"
1733,"[('How can I book an appointment with a mental health counselor?', {'entities': [(37, 50, 'facility')]})]"
1734,"[('Where can I find the Library Study Room Booking Guide?', {'entities': [(21, 53, 'facility')]})]"
